name,specialties,city,experience,fee,photoUrl,rating,about,isAvailableForCallNow
Assoc. Prof. Dr. Masha Khan,"Urologist",Quetta,10.0,600.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Assoc. Prof. Dr. Masha Khan is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Muhammad Musa Kakar,"Urologist",Quetta,10.0,700.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Asst. Prof. Dr. Muhammad Musa Kakar is a dedicated professional with a passion for patient care.,True
Dr. Hidayatullah Mandokhail,"Urologist",Quetta,10.0,700.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,94.0,Dr. Dr. Hidayatullah Mandokhail is a dedicated professional with a passion for patient care.,False
Dr. Jamil Kakar,"Urologist",Quetta,7.0,500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Jamil Kakar is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. M Hussain Baloch,"Gastroenterologist",Quetta,12.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. M Hussain Baloch is a dedicated professional with a passion for patient care.,False
Dr. Muhammad Farooq Zarkoon,"Gastroenterologist",Quetta,15.0,2000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Dr. Muhammad Farooq Zarkoon is a dedicated professional with a passion for patient care.,False
Dr. Essa Khan Achakzai,"Gastroenterologist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Essa Khan Achakzai is a dedicated professional with a passion for patient care.,True
Dr. Niaz Muhammad,"Gastroenterologist",Quetta,14.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Dr. Niaz Muhammad is a dedicated professional with a passion for patient care.,False
Dr. Khalid Tareen,"Gastroenterologist",Quetta,7.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Khalid Tareen is a dedicated professional with a passion for patient care.,True
Dr. Muhammad Naseer,"Gastroenterologist",Quetta,14.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Dr. Muhammad Naseer is a dedicated professional with a passion for patient care.,False
Assoc. Prof. Dr. Muhammad Usman Tareen,"Gastroenterologist",Quetta,16.0,3000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Assoc. Prof. Dr. Muhammad Usman Tareen is a dedicated professional with a passion for patient care.,True
Dr. Masood Tareen,"Gastroenterologist",Quetta,7.0,900.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Masood Tareen is a dedicated professional with a passion for patient care.,False
Dr. Ameer Bakhsh Langove,"Gastroenterologist",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Ameer Bakhsh Langove is a dedicated professional with a passion for patient care.,False
Dr. Abdul Latif,"Gastroenterologist",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Abdul Latif is a dedicated professional with a passion for patient care.,True
Dr. Inayatullah Khan Kakar,"Gastroenterologist, Hepatologist",Quetta,5.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Inayatullah Khan Kakar is a dedicated professional with a passion for patient care.,False
Dr. Inam Ullah Khan,"Gastroenterologist, Hepatologist",Quetta,2.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,95.0,Dr. Dr. Inam Ullah Khan is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Nasir Azim Kakar,"Pulmonologist / Lung Specialist, Internal Medicine Specialist",Quetta,10.0,1500.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,99.0,Dr. Asst. Prof. Dr. Nasir Azim Kakar is a dedicated professional with a passion for patient care.,False
Asst. Prof. Dr. Tahir Khan,"Pulmonologist / Lung Specialist, General Physician, Allergy Specialist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Asst. Prof. Dr. Tahir Khan is a dedicated professional with a passion for patient care.,True
Dr. Ishfaq Ahmed,"Pulmonologist / Lung Specialist",Quetta,10.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Dr. Ishfaq Ahmed is a dedicated professional with a passion for patient care.,False
Dr. Sohail Mushtaq,"Pulmonologist / Lung Specialist",Quetta,23.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Dr. Sohail Mushtaq is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Abdul Baqi Achakzai,"Pulmonologist / Lung Specialist",Quetta,6.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Abdul Baqi Achakzai is a dedicated professional with a passion for patient care.,True
Asst. Prof. Dr. Syed Aman Ullah Shah,"Pulmonologist / Lung Specialist",Quetta,5.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Asst. Prof. Dr. Syed Aman Ullah Shah is a dedicated professional with a passion for patient care.,True
Dr. Ali Ahmed Reki,"Pulmonologist / Lung Specialist",Quetta,15.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Ali Ahmed Reki is a dedicated professional with a passion for patient care.,True
Dr. Muhammad Yaseen,"Pulmonologist / Lung Specialist",Quetta,8.0,1200.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Muhammad Yaseen is a dedicated professional with a passion for patient care.,True
Dr. Iftikhar Ali Kakar,"Pulmonologist / Lung Specialist",Quetta,8.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Iftikhar Ali Kakar is a dedicated professional with a passion for patient care.,False
Dr. Abdul Haseeb Kakar,"Pulmonologist / Lung Specialist",Quetta,7.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Abdul Haseeb Kakar is a dedicated professional with a passion for patient care.,False
Dr. Maqsood Ahmed,"Pulmonologist / Lung Specialist",Quetta,5.0,800.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,100.0,Dr. Dr. Maqsood Ahmed is a dedicated professional with a passion for patient care.,False
Dr. Raheemuddin,"Pulmonologist / Lung Specialist, Allergy Specialist",Quetta,13.0,1000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,97.0,Dr. Dr. Raheemuddin is a dedicated professional with a passion for patient care.,False
Dr. Attiq Ur Rehman,"Orthopedic Surgeon, Spinal Surgeon",Quetta,15.0,1200.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,98.0,Dr. Dr. Attiq Ur Rehman is a dedicated professional with a passion for patient care.,False
Assoc. Prof. Dr. Lal Muhammad Khan Kakar,"Orthopedic Surgeon, Spinal Surgeon",Quetta,20.0,3000.0,https://i.pinimg.com/736x/06/b1/85/06b185e5b2322f1ab0557db59b554cd5.jpg,96.0,Dr. Assoc. Prof. Dr. Lal Muhammad Khan Kakar is a dedicated professional with a passion for patient care.,False
