HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
The National Hospital (Faisalabad),Faisalabad,Faisalabad,"The National Hospital (Faisalabad), Gulberg Rd, Jinnah Colony, Faisalabad, Punjab, Faisalabad, Faisalabad",1,(041) 2611499
Ghulam Fatima Medicare Hospital,Faisalabad,Faisalabad,"Ghulam Fatima Medicare Hospital, D-Type Colony Rd, Doctor Chowk, In Front Of Afzal Electronics, Faisalabad, Faisalabad",3,3344555147
Al Hanif Physiotherapy & Hijama Centre,Faisalabad,Faisalabad,"Al Hanif Physiotherapy & Hijama Centre, Bazar No 1, P-772 Chibban Road, Chowk, Shareef Pura Awan, Faisalabad, Faisalabad",1,3167418394
Anwar Nazeer Medicare Hospital,Faisalabad,Faisalabad,"Anwar Nazeer Medicare Hospital, 95Wc+9Rj, Faisalabad, Faisalabad, Faisalabad",1,3336605025
Hdc: Hasans Dental Clinic,Faisalabad,Faisalabad,"Hdc: Hasans Dental Clinic, Masjid Ismail Rd, Near Qaim Sain Road, Faisalabad, Faisalabad",-,3242468822
Infinite Mind Blooming Clinic,Faisalabad,Faisalabad,"Infinite Mind Blooming Clinic, Gulberg C Afghanabad Road, Faisalabad, Faisalabad",2,3356368600
Raheem Medical Hall Hospital,Faisalabad,Faisalabad,"Raheem Medical Hall Hospital, C4F2+8Px, Street 2, Tariqabad, Faisalabad, Faisalabad",1,3006650255
Bashir Clinic,Faisalabad,Faisalabad,"Bashir Clinic, Dr Muhammad Rizwan P-72-D Liaqat Town, Faisalabad, Faisalabad",-,3336512216
Smiles By Dr. Aliza Hospital,Faisalabad,Faisalabad,"Smiles By Dr. Aliza Hospital, Street# 1, Sargodha Rd, Block F, Rehmanpura Colony, Faisalabad, Faisalabad",1,3307610555
The Physiofix Hospital,Faisalabad,Faisalabad,"The Physiofix Hospital, Imtiaz Shaheed Road Jattan Wala Chowk Near Prime Care Hospital, Faisalabad, Faisalabad",1,3342220134
Anfal Medical Center,Faisalabad,Faisalabad,"Anfal Medical Center, 65-X-Imtiaz Shaheed Road, Jattanwala Chowk Madina, Faisalabad, Faisalabad",1,3218868844
Ayesha General Hospital,Faisalabad,Faisalabad,"Ayesha General Hospital, 945W+R24, Faisalabad, Faisalabad, Faisalabad",1,3411166244
C-Pat Special Education Services Hospital,Faisalabad,Faisalabad,"C-Pat Special Education Services Hospital, Imtiaz Shaheed Rd, Near Prime Care Hospital, Block X Madina Town, Faisalabad, Faisalabad",1,3011605000
Din Heart Care Center,Faisalabad,Faisalabad,"Din Heart Care Center, Fawara Chowk Near Pahari Ground, Infront Of Sakhi Medical Store, Peoples Colony No 2, Faisalabad, Faisalabad",1,3024467806
Dr. Sara Clinic,Faisalabad,Faisalabad,"Dr. Sara Clinic, 84 B Iqbal Chowk Sadar Bazar Near The Smart School, Faisalabad, Faisalabad",1,3004453721
Home Visits (Faisalabad) Hospital,Faisalabad,Faisalabad,"Home Visits (Faisalabad) Hospital, Faisalabad, Faisalabad, Faisalabad",1,042-32591432
Imtiaz Healthful Medical Centre,Faisalabad,Faisalabad,"Imtiaz Healthful Medical Centre, Shani Road, Faisalabad, Faisalabad",1,3006693835
Saleema Maternity And Medical Centre,Faisalabad,Faisalabad,"Saleema Maternity And Medical Centre, House No 98 Street No 5 Al Noor Garden, Faisalabad, Faisalabad",1,415224602
The Beautiful Mind Hospital,Faisalabad,Faisalabad,"The Beautiful Mind Hospital, House Number 13-15, Usman Colony ,Opposite Crescent Textile Mill, Faisalabad, Faisalabad",-,042-32591432
Professors Hospital,Faisalabad,Faislabad Rd,"Professors Hospital, Professors Hospital , 719, Satayana Rd, Opposite Mcdonald, Batala Colony, Faislabad Rd, Faisalabad",9,3026900673
Specialist Doctors Center Raja Chowk,Faisalabad,G M Abad Faisalabad,"Specialist Doctors Center Raja Chowk, G. M. Abad Faisalabad, G. M. Abad Faisalabad, Faisalabad",-,3009654484
Children Hospital & Institute Of Child Health Faisalabad,Faisalabad,Gc University New Campus,"Children Hospital & Institute Of Child Health Faisalabad, Jhang Road, Gc University, New Campus, Faisalabad",-,041 9203065
Ammar Shafique Physiotherapy And Spine Care Center,Faisalabad,Ghosia Chowk,"Ammar Shafique Physiotherapy And Spine Care Center, Peoples Colony No 2, Ghosia Chowk, Faisalabad",1,3000388801
Mumtaz Alkhidmat Centre,Faisalabad,Ghulam Muhammad Abad,"Mumtaz Alkhidmat Centre, Iqbal Chowk Saddar Bazaar, Ghulam Muhammad Abad, Faisalabad",-,3004453721
Govt. General Hospital,Faisalabad,Ghulam Muhammad Abad,"Govt. General Hospital, Gol Masjid Road Block A, Ghulam Muhammad Abad, Faisalabad",-,041-9330601
Arsalan Dental Clinic,Faisalabad,Ghulam Muhammad Abad,"Arsalan Dental Clinic, 378 E Block, Saddar Bazar,, Ghulam Muhammad Abad, Faisalabad",1,3216685228
Specialist Doctor Center,Faisalabad,Ghulam Muhammadabad,"Specialist Doctor Center, Subhan Plaza, Dogar Chowk, Ghulam Muhammadabad, Ghulam Muhammadabad, Faisalabad",1,3009654484
Executive Medical Complex Hospital,Faisalabad,Ghulamabad,"Executive Medical Complex Hospital, Ghulamabad, Ghulamabad, Faisalabad",1,3326731237
Kalsoom Ahmad Hospital,Faisalabad,Gojra Road,"Kalsoom Ahmad Hospital, Samundari, Gojra Road, Faisalabad",5,413422008
New Life Rehab Home For Addiction And Psychiatry Hospital,Faisalabad,Green Town,"New Life Rehab Home For Addiction And Psychiatry Hospital, Double Rd, Green Town, Faisalabad",2,3227940202
The Physio Specialist Hospital,Faisalabad,Green Town,"The Physio Specialist Hospital, P-152, Rapid Garden, Millat Rd, Green Town, Faisalabad",1,3094084010
Sabir Physiotherapy Clinic & Rehabilitation Center,Faisalabad,Green View Colony,"Sabir Physiotherapy Clinic & Rehabilitation Center, Rahmanabad, Green View Colony, Faisalabad",1,3086922600
Faisal Polyclinic,Faisalabad,Gulber Scheme 2,"Faisal Polyclinic, 10-A Scheme # 2, Opposite Haidri Masjid, Tariq Rd, Near Sb Store, Gulber Scheme #2, Faisalabad",-,3336694443
Hafiz Polyclinic,Faisalabad,Gulberg 2,"Hafiz Polyclinic, Opposite To Haleema Medicare Hospital Gulberg Road, Gulberg 2, Faisalabad",-,3324249614
The National Hospital,Faisalabad,Gulberg Rd Mohalla Guru Nanakpura Gulberg,"The National Hospital, Gulberg, Jinnah Colony, Gulberg Rd, Mohalla Guru Nanakpura, Gulberg, Faisalabad",-,03137121313 / 03217121313
Rabbani Clinic,Faisalabad,Gulfishan Colony,"Rabbani Clinic, Green Belt Road, Gulfishan Colony, Faisalabad",2,412655277
Aziz Fatima Hospital,Faisalabad,Gulistan Colony,"Aziz Fatima Hospital, Raja Road, Gulistan Colony No 1, Faisalabad, Gulistan Colony, Faisalabad",34,418780910
Siddiq Medical Complex Hospital,Faisalabad,Gulistan Colony,"Siddiq Medical Complex Hospital, 80-W, Raja Road, Gulistan Colony, Millat Chock, Ground Floor, Gulistan Colony, Faisalabad",3,418848024
Dia Scient Medical Complex Hospital,Faisalabad,Gulistan Colony,"Dia Scient Medical Complex Hospital, 35G Near Aziz Fatima Hospital Gulistan Colony #1, Gulistan Colony, Faisalabad",7,418862325
Tariq Orthopedic Trauma Center,Faisalabad,Gulistan Colony,"Tariq Orthopedic Trauma Center, Near Sacred Angel School, Aziz Fatima Road, Gulistan Colony, Faisalabad",3,3457782827
Lahore Eye Care Gulistan Colony Branch Hospital,Faisalabad,Gulistan Colony,"Lahore Eye Care Gulistan Colony Branch Hospital, 556/F Raja Rd Gulistan Colony,, Gulistan Colony, Faisalabad",-,3047619494
Sadiq Medical Hospital,Faisalabad,Gulistan Colony,"Sadiq Medical Hospital, Raja Road, Gulistan Colony, Faisalabad",1,30072533220
City Hearing Center,Faisalabad,Gulistan Colony,"City Hearing Center, Near Aziz Fatima Hospital Gulistan Colony, Gulistan Colony, Faisalabad",1,3030860897
Fatima Medicare Clinic,Faisalabad,Gulistan Colony,"Fatima Medicare Clinic, Opposite Care Pharmacy, Aziz Fatima Road, Gulistan Colony, Faisalabad",-,3062155355
Madawa Clinic,Faisalabad,Gulistan Colony,"Madawa Clinic, Millat Chowk, Gulistan Colony No. 2,, Gulistan Colony, Faisalabad",1,0333 7906611
Diabetes And Liver Clinic,Faisalabad,Gulistan Colony,"Diabetes And Liver Clinic, Ayun Complex, Gulistan Colony, H Block Near Aziz Fatima Hospital, Gulistan Colony, Faisalabad",1,3361633346
Chughtai Lab Gulishtan Colony Hospital,Faisalabad,Gulistan Colony,"Chughtai Lab Gulishtan Colony Hospital, Khayyam Hotel? Jail Road, Akbarabad Chowk Near? Akbarabad, Gulistan Colony, Faisalabad",1,3111456789
Inmotion Physiotherapy Rehab And Hijama Clinic,Faisalabad,Gulistan Colony,"Inmotion Physiotherapy Rehab And Hijama Clinic, Gourmet Bakery, 513-F Raja Rd, Near Aziz Fatima Hospital, Gulistan Colony, Faisalabad",-,3107436476
Mega Diagnostic Center,Faisalabad,Gulistan Colony,"Mega Diagnostic Center, Opposite Aziz Fatima Hospital, Gulistan Colony, Faisalabad",-,3007872679
Javed Medical Complex Hospital,Faisalabad,Gulistan Colony,"Javed Medical Complex Hospital, Aziz Fatima Road, Gulistan Colony, Faisalabad",-,3007872679
Mehmooda Begum Medical Complex Hospital,Faisalabad,Gulistan Colony,"Mehmooda Begum Medical Complex Hospital, .64 H Raja Road, Gulistan Colony, Faisalabad",-,3000900820
Sacred Hospital,Faisalabad,Gulistan Colony,"Sacred Hospital, 75/W Raja Rd, Gulistan Colony, Faisalabad",-,(042) 32591427
Anas Ahmad Clinic,Faisalabad,Gulistan Colony No 1,"Anas Ahmad Clinic, Capital Lab Raja Road, Gulistan Colony No 1, Faisalabad",-,3111222398
Sara Medicare Hospital,Faisalabad,Gulshan Colony,"Sara Medicare Hospital, Awan Chowk, Professor Ehsan Ul Haq Road, Gulshan Colony, Faisalabad",1,0332 6839118
Zubaida Shamim Medical Center,Faisalabad,Gulshan Colony,"Zubaida Shamim Medical Center, Milad Road, Gulshan Colony, Faisalabad",-,3006693835
Wellcare Polyclinic,Faisalabad,Gulshan Colony,"Wellcare Polyclinic, Raja Road Near Aziz Fatima Hospital, Gulshan Colony, Faisalabad",-,316708102
Daud Dental Clinic,Faisalabad,Gulshan E Rafiq Colony,"Daud Dental Clinic, 133-G Gulshan-E-Rafiq Colony Samundri Road, Gulshan E Rafiq Colony, Faisalabad",1,3111222398
Dentfix Dental Care & Implant Center,Faisalabad,Gulshan E Hayat,"Dentfix Dental Care & Implant Center, P2-35 Gulshan-E-Hayat,, Gulshan-E-Hayat, Faisalabad",-,3111222398
Maryam Medical Center Faisalabad,Faisalabad,Gulshan E Rafique Colony,"Maryam Medical Center Faisalabad, Redex Road, Gulshan-E-Rafique Colony, Faisalabad",1,3006684044
Chiniot General Hospital Jinnah Colony,Faisalabad,Gurunank Pura,"Chiniot General Hospital Jinnah Colony, 209 Jinnah Colony, Gurunank Pura, Faisalabad",4,(041) 2633978
Faisalabad International Hospital,Faisalabad,Gutwala,"Faisalabad International Hospital, 204, Gulshan-E-Iqbal, Gutwala, Gutwala, Faisalabad",4,(041) 8524601
Yasmeen Medicare Hospital,Faisalabad,Hareem Center,"Yasmeen Medicare Hospital, Hareem Center Jhumra Road Near Naaz Cinema, Hareem Center, Faisalabad",1,3126653843
Physio & Rehab Clinic,Faisalabad,Hassan Block,"Physio & Rehab Clinic, Street 9 , House 49 , Hassan Block , Khayaban Garden, Hassan Block, Faisalabad",-,3330272322
Dentistry 33 Hospital,Faisalabad,Ideal Town,"Dentistry 33 Hospital, Sargodha Road, Ideal Town, Faisalabad",-,042-32591432
Al Ehsaan Shaheed Free Dispensary Hospital,Faisalabad,Islam Nagar,"Al Ehsaan Shaheed Free Dispensary Hospital, Main Bazar Islamnagar Rd, Islam Nagar, Faisalabad",-,3006058458
Ayoub Clinic,Faisalabad,Islamia Park Near Hamid Kiryana Store Faisalabad,"Ayoub Clinic, P918, Street No.5, Islamia Park, Near Hamid Kiryana Store, Faisalabad, Islamia Park, Near Hamid Kiryana Store, Faisalabad, Faisalabad",-,3006058458
Nawaz Medicare Hospital,Faisalabad,Jail Road,"Nawaz Medicare Hospital, 62 Jail Road, Block C Model Town,, Jail Road, Faisalabad",1,412648881
Allied Hospital,Faisalabad,Jail Road,"Allied Hospital, Muslim Town, Jail Road, Faisalabad",9,(041) 9210082
Lahore Medical Complex (Jaranwala) Hospital,Faisalabad,Jaranwala,"Lahore Medical Complex (Jaranwala) Hospital, Opposite Tma Market, Jaranwala, Jaranwala, Faisalabad",1,3340096962
Al Hafeez Poly Clinic,Faisalabad,Jaranwala,"Al Hafeez Poly Clinic, : 8Cp9+589, Unnamed Road, Jaranwala, Jaranwala, Faisalabad",1,414311000
Zia Rehabilitation Center (Jaranwala),Faisalabad,Jaranwala,"Zia Rehabilitation Center (Jaranwala), Mehmood Clinic, Street # 2, Jaranwala, Faisalabad",-,3340096962
Derma Care Skin And Laser Clinic,Faisalabad,Jaranwala Rd,"Derma Care Skin And Laser Clinic, Near Nadra Executive Center Opposite Mr Wings Backside Kohinoor One Plaza, Jaranwala Rd, Faisalabad",1,3009657840
Abwa Hospital & Research Centre,Faisalabad,Jaranwala Rd,"Abwa Hospital & Research Centre, 1-Km Khurrianwala,, Jaranwala Rd, Faisalabad",2,0311 1112292
Chief Dental Care Hospital,Faisalabad,Jaranwala Rd,"Chief Dental Care Hospital, Shop # 32. Fazal Market, Adjacent To Care Ex Pharmacy, Main Jaranwala Road, Near Lower Canal, Jaranwala Rd, Faisalabad",1,3345467777
Kardar Specialist Hospital,Faisalabad,Jaranwala Road,"Kardar Specialist Hospital, 5Madina Town Extension, Near Koh E Noor Chouk, Jaranwala Road, Faisalabad",2,418737701
Shifa International Hospital,Faisalabad,Jaranwala Road,"Shifa International Hospital, Main Jaranwala Road, Jaranwala Road, Faisalabad",17,0418403659-60
Abwa Knowledge Village Hospital,Faisalabad,Jaranwala Road,"Abwa Knowledge Village Hospital, Khurianwala, Jaranwala Road, Faisalabad",-,412428513
The Psycho And Speech Solutions (The Pass Clinic),Faisalabad,Jaranwala Road,"The Psycho And Speech Solutions (The Pass Clinic), 17 - B, Fareed Town, Last Bus Stop, Jaranwala Road, Faisalabad",1,042-32591432
Khadija Hospital,Faisalabad,Jaranwala Road,"Khadija Hospital, Jaranwala Road, Jaranwala Road, Faisalabad",-,3452879679
Al Barkat Hospital,Faisalabad,Jhang Road,"Al Barkat Hospital, Shadab More Street Number 1 Jhang Road, Jhang Road, Faisalabad",1,3338984416
Dar Ul Shifa Doctors Medicare Hospital,Faisalabad,Jhang Road,"Dar Ul Shifa Doctors Medicare Hospital, Shadab Mor, Jhang Road, Faisalabad",1,3007609681
Al- Hani Clinic,Faisalabad,Jhang Road,"Al- Hani Clinic, Jhang Road, Jhang Road, Faisalabad",1,413222533
Ghufran Skin Clinic,Faisalabad,Jhang Road,"Ghufran Skin Clinic, Sheikh Colony, Jhang Road, Faisalabad",-,3227611321
Hafiz Ayub Dental Care Hospital,Faisalabad,Jhang Road,"Hafiz Ayub Dental Care Hospital, Main Commercial Market, Liaquat Town, Jhang Road, Faisalabad",1,0313 2648554
Life Homeopathic Clinic,Faisalabad,Jhang Road,"Life Homeopathic Clinic, Street # 8, Safina Town, Jhang Road, Faisalabad",1,3167088702
Asad General Hospital,Faisalabad,Jhang Faisalabad Rd,"Asad General Hospital, Chak 277 Jb, Painsra, Jhang-Faisalabad Rd, Faisalabad",-,(041) 2557770
Yasin Memorial Hospital,Faisalabad,Jinnah Colony,"Yasin Memorial Hospital, Gulberg Rd,, Jinnah Colony, Faisalabad",1,412612700
Iqbal Dental Clinic,Faisalabad,Jinnah Colony,"Iqbal Dental Clinic, P-31 College Rd, Jinnah Colony, Jinnah Colony, Faisalabad",1,412600556
Shafi Medical Centre,Faisalabad,Jinnah Colony,"Shafi Medical Centre, Bakra Mandi Link, Jinnah Colony, Faisalabad",1,(041) 2617122
Health Care Clinic (Faisalabad),Faisalabad,Jinnah Colony,"Health Care Clinic (Faisalabad), 371, Nera Chiniot Dialysis Center, Jinnah Colony, Faisalabad",-,3111222398
Al Shifa Dental Care Hospital,Faisalabad,Khalida Abad,"Al Shifa Dental Care Hospital, Makhdum Rd Khalid Abad, Faisalabad, Khalida Abad, Faisalabad",-,3111222398
Ali Medical Centre (Faisalabad),Faisalabad,Khurd Chak 279 Rb Khurd Faisalabad,"Ali Medical Centre (Faisalabad), 2 Street No. 1 Siddique Akbar Town, Chak No. 279 Rb Khurd Chak 279 Rb Khurd, Faisalabad, Punjab, Khurd Chak 279 Rb Khurd, Faisalabad, Faisalabad",-,3226286106
Bright Smile Dental Clinic Khurrianwala,Faisalabad,Khurianwala,"Bright Smile Dental Clinic Khurrianwala, 1/2 Km Main Chowk Jandwala Road Khurrianwala, Khurianwala, Faisalabad",2,3007686193
Ruqayya Rehabilitation Center,Faisalabad,Khurianwala,"Ruqayya Rehabilitation Center, G72C+Fr4, Sahianwala Road, Khurianwala, Khurianwala, Faisalabad",1,3049239546
Ishaque Memorial Children Clinic,Faisalabad,Khurrianwala,"Ishaque Memorial Children Clinic, Sahianwala Road, Khurrianwala, Faisalabad",1,3014557873
London Aesthetics & Rejuvenation Centre Fsbd,Faisalabad,Kohinoor City,"London Aesthetics & Rejuvenation Centre Fsbd, The Orion, 8-G,, Kohinoor City, Faisalabad",2,042-32591432
Move Better Clinic,Faisalabad,Kohinoor City,"Move Better Clinic, Basement Salt N Pepper Restaurant 14-A, Kohinoor City, Faisalabad",2,3132211116
Al Fahd Spa & Fitness Club Hospital,Faisalabad,Kohinoor City,"Al Fahd Spa & Fitness Club Hospital, Al Fahd Plaza? Jaranwala Rd, Kohinoor City, Kohinoor City, Faisalabad",1,418533007
Naeem Executive Clinic,Faisalabad,Lal Mill Road,"Naeem Executive Clinic, Near Allied Bank, Lal Mill Road, Factory Area, Lal Mill Road, Faisalabad",3,3361751745
Rathore Hospital,Faisalabad,Lasani Town,"Rathore Hospital, Sargodha Road, Lasani Town, Faisalabad",11,3226001488
Idc Executive Clinics,Faisalabad,Lasani Town,"Idc Executive Clinics, 30 Sargodha Rd, Lasani Town, Lasani Town, Faisalabad",1,3037535052
Adeel Medicare Hospital,Faisalabad,Liaquat Town,"Adeel Medicare Hospital, Shafi E Azam Rd, Block B, Liaquat Town, Faisalabad",-,nill
Bajwa Medical Complex Hospital,Faisalabad,Lyallpur Park,"Bajwa Medical Complex Hospital, P-2 Bajwa Chock, Lyallpur Park, Faisalabad",-,3086922600
Mujahid Hospital,Faisalabad,Madina Town,"Mujahid Hospital, 1 Green Belt Road, Block Z, Madina Town, Faisalabad",33,418715364
Islamabad Diagnostic Centre .,Faisalabad,Madina Town,"Islamabad Diagnostic Centre ., Susan Road Madina Town, Madina Town, Faisalabad",4,3227846070
Madina Town Gynae And General Hospital,Faisalabad,Madina Town,"Madina Town Gynae And General Hospital, Green Belt Road Near Gcu,Women Madina Town, Madina Town, Faisalabad",3,3111222398
Al Khidmat Women Wing Hospital,Faisalabad,Madina Town,"Al Khidmat Women Wing Hospital, Susan Rd, Madina Town, Faisalabad",2,418544016
Momin Clinics,Faisalabad,Madina Town,"Momin Clinics, Y Block House No. 21 Street No. 107, Adjacent To Zainab Naseem Hospital, Madina Town, Madina Town, Faisalabad",-,415389880
The Lyallpur Medical Services Trust Hospital,Faisalabad,Madina Town,"The Lyallpur Medical Services Trust Hospital, Liberty Market, Susan Road, Madina Town, Faisalabad",-,041-8523896
Dr Raza Ali Saif Clinic,Faisalabad,Madina Town,"Dr Raza Ali Saif Clinic, Fda Flat 17, Shop 5, Near Police Station Madina Town, Madina Town, Faisalabad",1,3126405467
Fakhar Medical Center,Faisalabad,Madina Town,"Fakhar Medical Center, Green Belt Rd, Block Z, Madina Town, Faisalabad",1,3044526662
Home Visit (Raza Saif) Hospital,Faisalabad,Madina Town,"Home Visit (Raza Saif) Hospital, Unnamed Road, Block W Madina Town, Madina Town, Faisalabad",1,3126405467
Infinity Health Care Hospital,Faisalabad,Madina Town,"Infinity Health Care Hospital, X-45 Adjacent To Faysal Bank,, Susan Road, Madina Town, Faisalabad",-,3033333151
Shamim Medical Center,Faisalabad,Madina Town,"Shamim Medical Center, Block X, Madina Town, Faisalabad",-,3006693835
The Professionals Hospital,Faisalabad,Madina Town,"The Professionals Hospital, 3 Chenab Market, Main Susan Road, Block Z, Madina Town, Faisalabad",3,415220193
Rabia Trust Hospital,Faisalabad,Main Batala Colony,"Rabia Trust Hospital, Faisalabad, Punjab, Main Batala Colony, Faisalabad",3,3111222398
Shahroze Dental Center,Faisalabad,Main Batala Colony,"Shahroze Dental Center, 58-A, Akbar Chowk, Near Akbar Cng, Main Batala Colony, Faisalabad",1,041 8540096
Dr. Asad Saleem Skin Care Clinic,Faisalabad,Main Bazar,"Dr. Asad Saleem Skin Care Clinic, Plot 622, Sarfraz Colony, Near Awan Hospital, Main Bazar, Faisalabad",1,3035618003
Surgical Care Clinic,Faisalabad,Main Bazar,"Surgical Care Clinic, Main Bazaar Shah Chowk Nazimabad, Main Bazar, Faisalabad",1,3322322337
Physiofit Hospital,Faisalabad,Main Satiana Rd,"Physiofit Hospital, Idc Building Basement, Main Satiana Rd, Faisalabad",3,042-32591427
Faisalabad Specialist Clinic,Faisalabad,Main Satyana Road,"Faisalabad Specialist Clinic, Basement Islamabad Diagnostic Center, From Slaeemi Chowk To Ideal Bakery, Main Satyana Road, Faisalabad",5,(041) 8712828
Usman Clinic,Faisalabad,Makkuana Town,"Usman Clinic, Jaranwala Rd, Chak 229-Rb, Makkuana Town, Faisalabad",1,0300 7281495
Anam Rehab And The Physio Lab Hospital,Faisalabad,Malikpur,"Anam Rehab And The Physio Lab Hospital, Opposite Billa Pan Shop Near Dera Mehboob Alam Sandhu, Malikpur, Faisalabad",5,3117698461
Khizra Medical Complex Hospital,Faisalabad,Malikpur,"Khizra Medical Complex Hospital, Opposite Of Amjad Pharmacy, Sheikhupura Road, Malikpur, Faisalabad",1,3111222398
Dhq Hospital Faisalabad,Faisalabad,Mall Road,"Dhq Hospital Faisalabad, Mall Road, Mall Road, Faisalabad",5,419200140
Maryam Hospital,Faisalabad,Manawala,"Maryam Hospital, Sheikhupura Road, Near Imtiaz Mart, Manawala, Faisalabad",-,3236092296
Maryam Hospital & Zacha Bacha Center,Faisalabad,Manawala,"Maryam Hospital & Zacha Bacha Center, 203 Rb Bhaiwala Rd, Manawala, Faisalabad",-,3006693835
Canal Medical And Diagnostic Center (Cmdc),Faisalabad,Mansoorabad,"Canal Medical And Diagnostic Center (Cmdc), W Canal Rd Near Kia Motors Farooqabad, Mansoorabad, Faisalabad",2,418503744
Umar Clinic Faisalabad,Faisalabad,Mansoorabad,"Umar Clinic Faisalabad, Street No 17, Mansoorabad, Faisalabad",1,3004884066
Madina Specialist Clinic,Faisalabad,Masjid Road,"Madina Specialist Clinic, Near To Allied Hospital, Daewoo Road, Masjid Road, Faisalabad",1,041 8457108
Shaharyar Oral Care Center,Faisalabad,Medical University Staff Colony,"Shaharyar Oral Care Center, House No 6-C, Medical University Staff Colony Daewoo Terminal Road, Medical University Staff Colony, Faisalabad",1,3320666077
Faisalabad Institute Of Research And Clinical Psychology,Faisalabad,Medina Colony,"Faisalabad Institute Of Research And Clinical Psychology, House 336, Street 6, Nemat Colony 1, Medina Colony, Faisalabad",-,3467703587
Khadija Mehmood Trust Hospital,Faisalabad,Mehmoodabad 2,"Khadija Mehmood Trust Hospital, Chibban Road, Mehmoodabad 2, Faisalabad",1,041 8846011
Shafqat Poly Clinic,Faisalabad,Millat Chowk,"Shafqat Poly Clinic, Near Laraib Shadi Hall, Millat Chowk, Faisalabad",1,3326522873
Al-Hanan Hijama & Cupping Centre,Faisalabad,Millat Chowk,"Al-Hanan Hijama & Cupping Centre, Street No.2 Aqsa Town, Millat Chowk, Faisalabad",1,3107436476
Gulistan Clinic,Faisalabad,Millat Chowk,"Gulistan Clinic, Neaar Laraib Shadi Hall, Millat Chowk, Faisalabad",1,3326522873
Riffat Homoeo Specialist Clinic,Faisalabad,Millat Road,"Riffat Homoeo Specialist Clinic, Chak 117 Jb, Dhanola, Millat Road, Faisalabad",1,3216693815
Maham Dental Care - Imam Zain-Ul-Abideen Medical Complex (Izac) Hospital,Faisalabad,Millat Town Faisalabad,"Maham Dental Care - Imam Zain-Ul-Abideen Medical Complex (Izac) Hospital, 309-C, Hassan Chowk, Millat Town Faisalabad, Faisalabad",1,418766512
Millat Health Clinic,Faisalabad,Millat Town Faisalabad,"Millat Health Clinic, Hassan Chowk, Millat Road, Millat Town Faisalabad, Faisalabad",1,3350869110
Zohan Clinic,Faisalabad,Millat Town Faisalabad,"Zohan Clinic, Ittehad Park, Millat Rd,, Millat Town Faisalabad, Faisalabad",1,3157823306
Chenab Clinic,Faisalabad,Model Town,"Chenab Clinic, 62-C First Floor Nawaz Medicare Eid Gah Chowk Jail Road, Model Town, Faisalabad",1,412621772
Mustafa Poly Clinic,Faisalabad,Muhammadabad,"Mustafa Poly Clinic, Main Satiana Road, Near Nadeem Cafe, Muhammadabad, Faisalabad",2,3030860897
"Healthcare Physiotherapy Sports, Spine & Rehabilitation Center",Faisalabad,Muslim Town,"Healthcare Physiotherapy Sports, Spine & Rehabilitation Center, 39 Sargodha Road, B-Block, Muslim Town, Faisalabad",1,0313 7635592
The Best Hospital,Faisalabad,Nahar Wala Road,"The Best Hospital, 38A, Ghulam Muhammad Abad, 79 Morr Kaleem Shaheed Park, Nahar Wala Road, Faisalabad",-,3124249614
Al Rasheed Medicare Hospital,Faisalabad,Narwala Road,"Al Rasheed Medicare Hospital, G.M. Abad Narwala Road, Narwala Road, Faisalabad",4,041 2698485
Hussainia Dispensary Hospital,Faisalabad,Nazimabad,"Hussainia Dispensary Hospital, 108 Premier Colony Street No 7, Nazimabad, Faisalabad",1,042-32591432
Dr Aslam Farooq Hospital,Faisalabad,Near Commissioner Office,"Dr Aslam Farooq Hospital, 5D Civil Line, Near Commissioner Office, Faisalabad",1,3008655449
Mian Muhammad Trust Hospital,Faisalabad,Near General Bus Stand,"Mian Muhammad Trust Hospital, 127 Sargodha Road, Near General Bus Stand, Faisalabad",19,412408912
Esthetic By Dr Aqsa Hospital,Faisalabad,Near Lyallpur Galleria,"Esthetic By Dr Aqsa Hospital, 2Nd Building, Abdullah Street, Service Road East Canal Road, Near Lyallpur Galleria, Faisalabad",-,418520111
Rk Physiotherapy & Rehabilitation Center,Faisalabad,Nemat Colony 1,"Rk Physiotherapy & Rehabilitation Center, Street Number 6, Nemat Colony 1, Nemat Colony 1, Faisalabad",1,3457262426
Muzaffar Medicare Hospital,Faisalabad,New Civil Lines,"Muzaffar Medicare Hospital, 26,, New Civil Lines, Faisalabad",2,3006682482
Dr Hafiz Mughees Ather Gastro Liver Center,Faisalabad,New Muslim Town No 1,"Dr Hafiz Mughees Ather Gastro Liver Center, Sargodha Road Opposite Shell Petrol Pump Ideal Bakery, New Muslim Town No 1, Faisalabad",1,3334271398
Saleema Poly Clinic,Faisalabad,Nisaar Colony,"Saleema Poly Clinic, Street # 15, Nisaar Colony, Faisalabad",-,3214147727
Falah-E-Millat Hospital,Faisalabad,Nisar Colony,"Falah-E-Millat Hospital, 1353 B, Rana Sanaullah Road, Nisar Colony, Faisalabad",-,3157641098
Health Grid Medical Centre,Faisalabad,Nishatabad,"Health Grid Medical Centre, Opposite To Imtiaz Super Market, Nishatabad, Nishatabad, Faisalabad",1,418506077
Almadina Homeopathic Medical Clinic,Faisalabad,Nishatabad,"Almadina Homeopathic Medical Clinic, Near Misaqul Mall Nishatabad, Nishatabad, Faisalabad",1,3111222398
