HOSPITAL NAME,CITY,AREA,ADDRESS,DOCTORS,CONTACT
Zahid Medical Laboratories Hospital,Peshawar,0,"Zahid Medical Laboratories Hospital, Hayatabad Phase 4 Opposite To Hayatabad Medical Complex, Hayatabad Phase 4, Peshawar",-,3139005846
Modern X-Rays And Imaging Centre,Quetta,Jinnah Road,"Modern X-Rays And Imaging Centre, Near Shaukat Khanum Laboratory, Jinnah Road, Quetta",-,812869294
Gastroenterology Clinic,Quetta,Patel Road,"Gastroenterology Clinic, Azad Dental Club Near Ziauddin Hospital Laboratory Outreach, Patel Road, Quetta",-,042-32591427
Advance Concept Fertility Medical Center,Quetta,Quetta City,"Advance Concept Fertility Medical Center, Hassan Plaza Near Agha Khan Lab Behind Saleem Medical Complex Jinnah Road, Quetta City, Quetta",1,3428191936
Braces And Faces Dentesthetic Clinic,Quetta,Shahbaz Town Phase 2,"Braces And Faces Dentesthetic Clinic, Samungali Road, 1St Floor Life Pharmacy, Shahbaz Town Phase 2, Quetta",2,3315660294
The Aga Khan University Hospital Laboratory,Quetta,Zarghon Road,"The Aga Khan University Hospital Laboratory, Bangalow Number 21 Zarghun Road Baldia Town, Zarghon Road, Quetta",-,812869005
Rehmat Clinic & Diagnostic Center,Rahim-Yar-Khan,Bypass Road,"Rehmat Clinic & Diagnostic Center, Rehmat Oil Mills, Near Thalli Chowk, Bypass Road, Rahim Yar Khan",1,(068) 5881320
Al Hayat Hospital,Rahim-Yar-Khan,Haji Muhammad Colony,"Al Hayat Hospital, Hospital Road Near Shaukat Khanum Lab, Haji Muhammad Colony, Rahim Yar Khan",1,685871500
Fatima Medical Center & Clinical Lab,Rahim-Yar-Khan,Khanpur,"Fatima Medical Center & Clinical Lab, Mm24+7Vr, A Block, Khanpur, Rahim Yar Khan",1,3106840684
Muslim Clinic And Laboratory,Rahim-Yar-Khan,Khanpur,"Muslim Clinic And Laboratory, Shahi Rd, Khanpur, Rahim Yar Khan",1,3337473348
Al Rehman Hospital & Ultrasound Center,Rahim-Yar-Khan,Punjab,"Al Rehman Hospital & Ultrasound Center, Block Y Khanpur, Punjab, Rahim Yar Khan",1,3337473348
Iqbalabad Hospital,Rahim-Yar-Khan,Rahim Yar Khan,"Iqbalabad Hospital, Interchange Road Near Apni Pharmacy Iqbalabad Chowk, Rahim Yar Khan, Rahim Yar Khan",2,3028719460
Chest Clinic,Rahim-Yar-Khan,Sheikh Zaid Hospital Road,"Chest Clinic, Residence No.16/C, Medical Colony. Near Labor Room. Sheikh Zayed Hospial, Sheikh Zaid Hospital Road, Rahim Yar Khan",1,3049210228
The Citi Lab Adyala Road Hospital,Rawalpindi,Ali Town Munawar Colony,"The Citi Lab Adyala Road Hospital, Adyala Rd,, Ali Town Munawar Colony, Rawalpindi",-,515180490
Agha Khan Lab Collection Point Hospital,Rawalpindi,Asghar Mall Scheme,"Agha Khan Lab Collection Point Hospital, Chandani Chowk,Murre Road, Asghar Mall Scheme, Rawalpindi",-,(051) 4456431
The Rheumatology Clinic,Rawalpindi,Bahria Town,"The Rheumatology Clinic, Excel Labs Main Gt Road, Near Bahria Phase 1-6, Swan Camp, Bahria Town, Rawalpindi",1,3356743862
The Citi Lab Pwd Hospital,Rawalpindi,Block D Police Foundation,"The Citi Lab Pwd Hospital, Main Pwd Rd, Near Shaafi International Hospital, Block D Police Foundation, Rawalpindi",1,042-32591427
The Citi Lab Holy Family Hospital,Rawalpindi,Block E Satellite Town,"The Citi Lab Holy Family Hospital, Holy Family Rd, Block E Satellite Town, Rawalpindi",-,042-32591427
Citi Lab Holy Family Hospital,Rawalpindi,Block E Satellite Town,"Citi Lab Holy Family Hospital, Holy Family Rd, Block E Satellite Town, Rawalpindi",-,042-32591427
Premium Diagnostic Center,Rawalpindi,Cantt,"Premium Diagnostic Center, Mall Road,Near General Post Office,Saddar, Cantt, Rawalpindi",5,515586010
Taj Surgery Hospital,Rawalpindi,Cantt,"Taj Surgery Hospital, Sir Syed Road,Saddar,Near Health Way Lab, Cantt, Rawalpindi",2,3335247239
Noor Skin Clinic,Rawalpindi,Chaklala Scheme 3,"Noor Skin Clinic, Flat No 4 3 Rd Floor Adnan Height Above Excel Lab Chaklala Scheme 3 Rawalpindi, Chaklala Scheme 3, Rawalpindi",-,3361548811
Care Specialist Clinics,Rawalpindi,Haideri Chowk Saidpur Road,"Care Specialist Clinics, Next Tp Zahoor Ultrasound, Haideri Chowk Saidpur Road, Rawalpindi",-,3215660499
Islamabad Diagnostic Center (Chaklala Skin-3 Branch),Rawalpindi,Main Imran Khan Avenue,"Islamabad Diagnostic Center (Chaklala Skin-3 Branch), Skin-3 Branch, Khawaja Tower, Main Imran Khan Avenue, Rawalpindi",-,3361548811
New Sunshine Orthopedic Services Hospital,Rawalpindi,Main Saidpur Rd,"New Sunshine Orthopedic Services Hospital, 793, Shop Nw, Near Agha Khan Lab, Main Saidpur Rd, Rawalpindi",1,3005140747
"Shaheen Diagnostic Center ,",Rawalpindi,Mh Road,"Shaheen Diagnostic Center ,, Opposite Mh Gate, Mh Road, Rawalpindi",-,514845898
Islamabad Diagnostic Center,Rawalpindi,Murree Road,"Islamabad Diagnostic Center, Near Chandni Chowk Allied Bank Main, Murree Road, Rawalpindi",-,3438530006
Hr Medical And Diagnostic Center,Rawalpindi,Rawalpindi Rd,"Hr Medical And Diagnostic Center, Muslim Town, Rawalpindi Rd, Rawalpindi",-,514474825
Idc Lab & Diagnostic Center Faisal Colony,Rawalpindi,Rawalpindi Rd,"Idc Lab & Diagnostic Center Faisal Colony, Faisal, Colony Service Rd, Rawalpindi Rd, Rawalpindi",1,3111000432
Capital Medical Diagnostic Center,Rawalpindi,S Town,"Capital Medical Diagnostic Center, E 60 Near Haideri Chowk, S. Town, Rawalpindi",-,(051) 4913089
Clinic Ayub Lab,Rawalpindi,Saddar,"Clinic Ayub Lab, Second Floor In Mega Medical Complex Hospital Building, Saddar, Rawalpindi",1,3336850672
Ayyub Labs & Clinics (Saddar Rawalpindi),Rawalpindi,Saddar Rawalpindi,"Ayyub Labs & Clinics (Saddar Rawalpindi), 2Nd Floor, Mega Medical Complex, Opposite To Airforce Requirement Centre, Police Station Road, Saddar Rawalpindi, Rawalpindi",1,518448533
Sania Maternity Home & Ultrasound Hospital,Rawalpindi,Sadiqabad Rd,"Sania Maternity Home & Ultrasound Hospital, Rasheed Colony, Sadiqabad Rd., Rawalpindi",1,512373135
Biotech Molecular Diagnostic Lab Hospital,Rawalpindi,Said Pur Rd,"Biotech Molecular Diagnostic Lab Hospital, Main Saidpur Road Near Haideri Chowk Holy Family Hospital Stop, Said Pur Rd,, Rawalpindi",1,042-32591432
Advance Diagnostic Center,Rawalpindi,Saidpur Road,"Advance Diagnostic Center, Asghar Mall Scheme, Saidpur Road, Rawalpindi",-,3017805002
Khan Labs Hospital,Rawalpindi,Saidpur Road,"Khan Labs Hospital, B999 Adjacent U Bank 4Th. Road B Block Satellite Town, Saidpur Road, Rawalpindi",1,3111222398
Capital Medical And Diagnostic Center (Opd Center Of Reliance Hospital),Rawalpindi,Satellite Town,"Capital Medical And Diagnostic Center (Opd Center Of Reliance Hospital), D Block, Satellite Town, Rawalpindi",-,514913089
Pak Medical And Diagnostic Center,Rawalpindi,Satellite Town,"Pak Medical And Diagnostic Center, Opp Gate Holly Family Hospital, Block E Satellite Town, Satellite Town, Rawalpindi",3,518730646
Shaheen Diagnostic Center,Rawalpindi,Satellite Town,"Shaheen Diagnostic Center, Saidpur Rd Block B Satellite Town, Satellite Town, Rawalpindi",3,051 8350195
Iqbal Memorial Hospital & Diagnostic Center,Rawalpindi,Wah Cantt,"Iqbal Memorial Hospital & Diagnostic Center, Pqvm+725, Main G.T Road Nawababad, Wah Cantt, Wah Cantt, Rawalpindi",1,514547043
Saleha Medical Center,Rawalpindi,Westridge,"Saleha Medical Center, House Cb 2650,Muhammadbad Road,Allabad,Ashiana Chowk, Westridge, Rawalpindi",-,3350018351
Ahmad Ct-Scan And Ultrasound Centre,Sadiqabad,Mazhar Farid Colony,"Ahmad Ct-Scan And Ultrasound Centre, Kacha Sadiqabad Rd, Mazhar Farid Colony Rahim Yar Khan, Mazhar Farid Colony, Sadiqabad",1,3127304557
Ahmad Ct Scan And Ultrasound Centre,Sadiqabad,Mazhar Farid Colony,"Ahmad Ct Scan And Ultrasound Centre, Kacha Sadiqabad Rd, Mazhar Farid Colony Rahim Yar Khan, Mazhar Farid Colony, Sadiqabad",1,3127304557
